nom,date,contacts_seen
Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-18,ND
Nyakunde,2026-05-18,ND
Mongbalu,2026-05-19,0
Rwampara,2026-05-19,78
Bunia,2026-05-19,3
Nyakunde,2026-05-19,0
Komanda,2026-05-19,ND
Mangala,2026-05-19,ND
Mongbalu,2026-05-20,0
Rwampara,2026-05-20,83
Bunia,2026-05-20,0
Nyakunde,2026-05-20,0
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,0
Rwampara,2026-05-21,0
Bunia,2026-05-21,87
Nyakunde,2026-05-21,207
Nizi,2026-05-21,ND
Kilo,2026-05-21,ND
Mongbalu,2026-05-22,46
Rwampara,2026-05-22,ND
Bunia,2026-05-22,71
Nyakunde,2026-05-22,234
Nizi,2026-05-22,ND
Kilo,2026-05-22,ND
Aru,2026-05-22,ND
Mongbalu,2026-05-23,ND
Rwampara,2026-05-23,ND
Bunia,2026-05-23,71
Nyakunde,2026-05-23,ND
Nizi,2026-05-23,15
Kilo,2026-05-23,ND
Aru,2026-05-23,ND
