nom,date,total_poe_hand_washing
Nizi,2026-05-20,0
Bunia,2026-05-20,544
Rwampara,2026-05-20,102
Tchomia,2026-05-20,291
Nyakunde,2026-05-20,0
Mongbalu,2026-05-20,0
Aru,2026-05-20,718
Mahagi,2026-05-20,184
Nizi,2026-05-21,0
Bunia,2026-05-21,1473
Rwampara,2026-05-21,940
Tchomia,2026-05-21,130
Nyakunde,2026-05-21,0
Mongbalu,2026-05-21,0
Nizi,2026-05-22,ND
Bunia,2026-05-22,3256
Rwampara,2026-05-22,2996
Tchomia,2026-05-22,148
Nyakunde,2026-05-22,ND
Mongbalu,2026-05-22,ND
Aru,2026-05-22,1010
Nizi,2026-05-23,ND
Bunia,2026-05-23,3256
Rwampara,2026-05-23,2996
Tchomia,2026-05-23,148
Nyakunde,2026-05-23,ND
Mongbalu,2026-05-23,ND
Aru,2026-05-23,1010
